	Experiment 1:		Using hmax heuristic - 1000 probes in 24 hours.

Domain                             ida*      ida* time       ss error        ss time              n

blocks                      1.56474e+08        10770.9       0.159125           23.3             13
barman-opt11-strips                 ---            ---            ---            ---            ---
elevators-opt08-strips      1.60464e+06        4358.74        1.77734        7571.86              1
elevators-opt11-strips              ---            ---            ---            ---            ---
floortile-opt11-strips              ---            ---            ---            ---            ---
nomystery-opt11-strips      2.91101e+06        289.453        0.36861        36.8467              6
openstacks-opt08-adl                ---            ---            ---            ---            ---
openstacks-opt08-strips             ---            ---            ---            ---            ---
openstacks-opt11-strips             ---            ---            ---            ---            ---
parcprinter-opt11-strips            ---            ---            ---            ---            ---
parking-opt11-strips                ---            ---            ---            ---            ---
pegsol-opt11-strips              151280         10.998       0.166335          7.239             20
scanalyzer-opt11-strips             ---            ---            ---            ---            ---
sokoban-opt08-strips                ---            ---            ---            ---            ---
sokoban-opt11-strips                ---            ---            ---            ---            ---
tidybot-opt11-strips                ---            ---            ---            ---            ---
transport-opt08-strips              ---            ---            ---            ---            ---
transport-opt11-strips              ---            ---            ---            ---            ---
visitall-opt11-strips               ---            ---            ---            ---            ---
woodworking-opt08-strips            ---            ---            ---            ---            ---
woodworking-opt11-strips            ---            ---            ---            ---            ---
